city,state_id,county_name,lat,lng,population
Portsmouth,VA,Portsmouth,36.8468,-76.3540,97299
Orem,UT,Utah,40.2981,-111.6994,97048
Conroe,TX,Montgomery,30.3238,-95.4824,96976
Suffolk,VA,Suffolk,36.6953,-76.6398,96638
Sunrise,FL,Broward,26.1547,-80.2997,96633
Lawrence,KS,Douglas,38.9597,-95.2642,96380
Arden-Arcade,CA,Sacramento,38.6017,-121.3845,96319
Prescott Valley,AZ,Yavapai,34.5980,-112.3185,96190
Middletown,OH,Butler,39.5033,-84.3659,95894
San Germán,PR,San Germán,18.0827,-67.0460,95622
Edmond,OK,Oklahoma,35.6689,-97.4160,95618
Tracy,CA,San Joaquin,37.7269,-121.4523,95358
Manteca,CA,San Joaquin,37.7927,-121.2264,95347
Kingsport,TN,Sullivan,36.5224,-82.5454,95059
Portsmouth,NH,Rockingham,43.0580,-70.7826,94815
Sandy,UT,Salt Lake,40.5709,-111.8506,94723
